OriginalID,SourceLevel,TargetLevel,SourceText,TargetText,split
5486,INT,ELE,"Leifert and his colleagues conclude that many antioxidants have previously been linked to a reduced risk of chronic diseases, including cardiovascular diseases, neurodegenerative diseases and certain cancers.","Leifert and his colleagues conclude that many antioxidants reduce the risk of serious diseases, including diseases of the heart and certain cancers.",train
4835,INT,ELE,"After a vote among Conservative MPs failed to support her, John Major took control of the party.","Finally, in 1990, after a vote among Conservative MPs failed to support her, John Major took control of the party.",train
5474,INT,ELE,The ban on wolf hunting in the western Carpathians became law in 1995 and in the whole of Poland in 1998.,The ban on wolf hunting in the western Carpathian mountains became law in 1995 and in the whole of Poland in 1998.,train
5475,INT,ELE,There are now wolf packs in nearly all the countrys major forests where the wolves coexist with humans.,There are now wolf packs in nearly all the countrys major forests where the wolves exist together with humans.,train
4920,INT,ELE,"Reject pessimism, cynicism and know that progress is possible.",Reject pessimism and know that progress is possible.,train
5007,INT,ELE,"When two people from the Marshall Islands saw a small fibreglass boat washed up on the beach of a remote Pacific island, they decided to take a closer look.","When two people on a remote Pacific island saw a small boat washed up on the beach, they decided to take a closer look.",train
4963,INT,ELE,"In Northumberland Dark Sky Park, as the area was renamed, it is so dark that Venus casts a shadow on the Earth.","In Northumberland Dark Sky Park, it is so dark that Venus casts a shadow on the Earth.",train
4852,INT,ELE,"Holger von Neuhoff, a curator at the museum, said this bottled message was the oldest he had come across.","Holger von Neuhoff, a curator at the museum, said this bottled message was the oldest he had ever seen.",train
4629,INT,ELE,"If we want to find the answer to the question of whats going on with the midlife crisis, we should look at what is similar in middle-aged humans, chimps and orangutans, he said.","If we want to find whats going on with the midlife crisis, we should look at what is similar in middle-aged humans, chimps and orangutans, he said.     ",train
4795,INT,ELE,"Antibiotics have become drugs that are expensive to develop, that are only used in short courses and that quickly become ineffective due to the changes in bacterial resistance.","Antibiotics have become drugs that are expensive to develop, that are only used in short courses and that quickly stop working because of bacterial resistance.",train
5887,INT,ELE,"In fact, he earned just 10 from the patent and has not made a penny more from it since.","In fact, he earned just 10 from the patent and has not made any money from it since.",train
5234,INT,ELE,The Cardews could get round Harriets problem by giving her an Icelandic middle name.,The Cardews could solve Harriets problem by giving her an Icelandic middle name.,train
