OriginalID,SourceLevel,TargetLevel,SourceText,TargetText,split
1917,ADV,ELE,Hearing that subtle click is harder if theres a lot of noise around you.,It is harder to hear that click if theres a lot of noise around you.,train
2025,ADV,ELE,"We also have terri c public transport, with the underground working 24 hours at weekends, and it only costs 1 per trip.",We also have terri c public transport  the underground trains run 24 hours at weekends and it only costs 1 per trip.,train
711,ADV,ELE,"In 2014, Bowie was given the Brit Award for Best British Male, making him the oldest British recipient in the awards history.","In 2014, Bowie was given the Brit Award for Best British Male  he was the oldest person to get the award.",train
1351,ADV,ELE,I wont touch those jobs anymore.,I wont do those jobs anymore.,train
1324,ADV,ELE,"A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, made their way to another level-5 match to monitor another referee tipped to progress  John Brooks.","A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, went to another level-5 match to check another young referee  John Brooks.",train
1778,ADV,ELE,"And, each single word lights up many different brain spots.","And, each single word appears in many different brain spots.",train
605,ADV,ELE,"Another factory owner, who declined to be named, said that once a factory closed its doors, even for a few months, it would lose orders and close permanently: There is no such thing as temporary closure, he said.","Another factory owner said that, when a factory closed, even for a few months, it would lose orders and close permanently: There is no such thing as temporary closure, he said.",train
2134,ADV,ELE,"McDonalds has a bigger menu than some, with more complicated items  its chicken McWrap takes 60 seconds to make.","McDonalds has a bigger menu than some other restaurants, with more complicated items  its chicken McWrap takes 60 seconds to make.",train
753,ADV,ELE,"But renting a one-bedroom flat would cost more than 420 a month before bills, which would take up a lot of her earnings.","But renting a one-bedroom flat would cost more than 420 a month not including bills, which would use a lot of her earnings.",train
1727,ADV,ELE,Quali cations: You dont necessarily need a degree in computer science.,Quali cations: You dont need a degree in computer science.,train
1162,ADV,ELE,He spends his lift rides and spare moments at work reading news articles and books rather than scrolling through a newsfeed.,He spends his spare moments at work reading news articles and books.,train
80,ADV,ELE,Every village is digging a pit just beyond the houses for garbage.,Every village is digging a pit for garbage.,train
409,ADV,ELE,"The Stand with Malala petition, calling for education for the 57 million children around the world who do not go to school, has attracted more than four million signatures  more than a million having been added shortly after Malalas speech.","The Stand with Malala petition, that is asking for education for the 57 million children around the world who do not go to school, has got more than four million signatures  more than a million were added after Malalas speech.",train
600,ADV,ELE,People lacking qualifications who want to use MOOCs as a bridge to higher education?,People without qualifications who want to use MOOCs as a bridge to higher education?,train
178,ADV,ELE,"Danes have no problem having children before marriage so things can move fast and, because the countrys so small, a Jutlander can date a Copenhagener without too much travel, Limal said.","Danes have no problem having children before marriage so things can move fast and, because the countrys so small, someone from Jutland can date someone from Copenhagen without too much travel, Limal said.",train
255,ADV,ELE,Health warnings covering nearly two-thirds of cigarette packs and a ban on menthol cigarettes across the EU have come a step nearer following a vote in the European Parliament.,The European Parliament have said that health warnings will cover nearly two-thirds of cigarette packs and there will be a ban on menthol cigarettes in the EU.,train
1545,ADV,ELE,A DNA test was done and it was found it was not his baby and not her baby.,They found that it was not his baby and not her baby.,train
1967,ADV,ELE,A DNA test was done and it was found it was not his baby and not her baby.,They found that it was not his baby and not her baby.,train
1076,ADV,ELE,"Some ships are quieter than others but the average intensity of noise next to all the ships was 173 underwater decibels, equivalent to 111 decibels through the air  about the sound of a loud rock concert.","Some ships are quieter than others but the average noise next to all the ships was 173 underwater decibels, the same as 111 decibels through the air  about the sound of a loud rock concert.",train
1730,ADV,ELE,"To be able to dispose of the bombs safely, youll also need an explosive ordnance disposal quali cation and years of experience.","To be able to dispose of the bombs safely, youll also need a special quali cation and years of experience.",train
1296,ADV,ELE,The activity in Western Australia is compounding the human tragedy of shark attacks.,The activity in Western Australia is adding to the human tragedy of shark attacks.,train
806,ADV,ELE,"I dont know what training you have had, an editor yelled, but has no one ever told you a death toll cant go down?!","I dont know what training you have had, an editor shouted, but has no one ever told you a death toll cant go down?!",train
706,ADV,ELE,"A few days after his appearance at the Freddie Mercury tribute concert at Wembley Stadium in April 1992, Bowie married the Somalian model Iman and the couple bought a home in New York.","A few days after he performed at the Freddie Mercury tribute concert at Wembley Stadium in April 1992, Bowie married the Somalian model Iman and bought a home in New York.",train
1497,ADV,ELE,"The two-year study captured the sounds made by 12 different types of vessel, including cruise ships, container ships and military vehicles, that passed through the strait about 20 times a day.","The two-year study recorded the sound made by 12 different types of ship, including cruise ships, container ships and military ships, that passed through the strait about 20 times a day.",train
1176,ADV,ELE,They are more popular than nicotine patches and may or may not be more effective.,They are more popular than nicotine patches but we do not know if they are more effective.,train
234,ADV,ELE,"She said closing tax havens, which the Tax Justice Network says hold as much as $31 trillion, or as much as a third of all global wealth, could yield $189bn in additional tax revenues. ","She said closing tax havens, which hold as much as $31 trillion, or as much as a third of all global wealth, could collect $189bn in additional taxes.",train
229,ADV,ELE,Oxfam said the worlds poorest could be lifted out of poverty several times over if the richest 100 billionaires would give away the money they made in 2012.,Oxfam said the world could end poverty several times over if the richest 100 billionaires would give away the money they made in 2012.,train
1449,ADV,ELE,"She has a series of adventures as Johansson until she is eventually found out and, in the end, dies in a car crash.","She has many adventures as Johansson and, in the end, dies in a car crash.",train
470,ADV,ELE,"This is a huge day for Wales, for devolution and, most importantly, for the 226 people in Wales waiting for an organ transplant, said the Welsh Health Minister, Mark Drakeford.","This is a very big day for Wales and, most importantly, for the 226 people in Wales who are waiting for an organ transplant, said the Welsh Health Minister, Mark Drakeford.",train
1420,ADV,ELE,"4C would likely be catastrophic rather than simply dangerous, Sherwood said.","4C would be catastrophic, not simply dangerous, Sherwood said.",train
1836,ADV,ELE,"I work hard and am good at my job but, when PizzaExpress thinks it can get away with taking a percentage of our hard-earned tips left on a card, I get upset.","I work hard and am good at my job but, when PizzaExpress thinks it can take a percentage of our tips, I get upset.",train
1045,ADV,ELE,"The extent of the bene ts have yet to be determined but researchers from Stirling University have launched a comparative study to look for quantitative evidence of the physical, cognitive and emotional bene ts of the daily mile.","Researchers from Stirling University have begun a study to look for evidence of the physical, cognitive and emotional bene ts of the daily mile.",train
85,ADV,ELE,"I decided to do this because I often go on YouTube and, while I am honoured that people are doing it, some are doing it wrong because they dont realize the intensity you need to work at, says Tabata.","I decided to do this because I often go on YouTube and some people are doing it wrong because they dont understand how hard they need to work, says Tabata.",train
1587,ADV,ELE,She recently deleted her Twitter account and deactivated her Facebook account two years ago after realizing she didnt like everyone knowing what I was doing.,She has deleted her Twitter account and deleted her Facebook account two years ago when she realized that she didnt like everyone knowing what I was doing.,train
1469,ADV,ELE,We know sitting still kills; not sitting still helps children build skills that will stay with them for life.,We know sitting still kills; not sitting still helps children build skills that will help them for the rest of their lives.,train
309,ADV,ELE,It was important to me to leave an organization in the strongest possible shape and I believe I have done so.,It was important to me to leave an organization in the strongest possible condition and I believe I have done so.,train
1555,ADV,ELE,"That is a big, big problem in our industry.","That is a big, big problem for us.",train
1666,ADV,ELE,"Britons think it is 44%, when it is actually nearly half as much again  62% are either overweight or obese.","Britons think it is 44%, when actually 62% are overweight.",train
264,ADV,ELE,He is highly critical of internet users who think it is OK to download music or books without paying for them.,He criticizes internet users who think it is OK to download music or books without paying for them.,train
24,ADV,ELE,"She said closing tax havens, which the Tax Justice Network says hold as much as $31 trillion, or as much as a third of all global wealth, could yield $189bn in additional tax revenues. ","She said closing tax havens, which hold as much as $31 trillion, or as much as a third of all global wealth, could collect $189bn in additional taxes.",train
1058,ADV,ELE,Theyve been left out of all of this for the last 18 years.,Theyve not been a part of this for the last 18 years.,train
1047,ADV,ELE,We know sitting still kills; not sitting still helps children build skills that will stay with them for life.,We know sitting still kills; not sitting still helps children build skills that will help them for the rest of their lives.,train
1783,ADV,ELE,"On the brains right-hand side, near the top of the head, is one of the brain spots activated by family terms: wife, husband, children, parents.","On the brains right-hand side, near the top of the head, is one of the brain spots used for family terms: wife, husband, children, parents.",train
2078,ADV,ELE,"As the pollster notes: Trump says what theyre thinking and, the more outrageous he is, the more they agree with him.","He says, Trump says what theyre thinking and, the more outrageous he is, the more they agree with him.",train
1861,ADV,ELE,"Its something uniting people here, Kalisa Migendo, a 24-year-old agriculture student, says.","The shop is uniting people here, Kalisa Migendo, a 24-year-old student, says.",train
2023,ADV,ELE,"German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven.","German-speaking cities do well in the 18th Mercer Quality of Life study, with Vienna, Zurich, Munich, Dusseldorf and Frankfurt in the top seven.",train
94,ADV,ELE,"Memory researchers have always recognized that memory does not, as is often assumed, work like a video camera, faithfully recording all of the details of anything we experience.","He added that memory researchers have always known that memory does not work like a video camera, recording all the details of anything we experience.",train
1974,ADV,ELE,"It has just over 3,000 beds for visitors, compared with tens of thousands on an island such as Rhodes.","It has just over 3,000 beds for visitors  Rhodes, for example, has tens of thousands of beds.",train
1722,ADV,ELE,"What the job involves: A race engineer acts as the interpreter between the race-car mechanics and the driver, says race engineer Jamie Muir.","What the job involves: A race engineer is the interpreter between the race-car mechanics and the driver, says race engineer Jamie Muir.",train
554,ADV,ELE,"Farmers in Europe, Israel and Australia have also experimented with it.","Farmers in Europe, Israel and Australia have also experimented with growing it.",train
1601,ADV,ELE,"German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven.","German-speaking cities do well in the 18th Mercer Quality of Life study, with Vienna, Zurich, Munich, Dusseldorf and Frankfurt in the top seven.",train
394,ADV,ELE,"He told The Guardian that the applicants so far ranged in age from 18 to at least 62 and, though they include women, they tended to be men.","He told The Guardian that the applicants so far were aged 18 to at least 62 and, although they include women, they were mostly men.",train
157,ADV,ELE,According to the IEAs Medium-Term Coal Market Report the world will burn 1.2bn more tonnes of coal per year by 2017 compared with today  the equivalent of the current coal consumption of Russia and the US combined.,"According to the IEAs Medium-Term Coal Market Report, the world will burn 1.2bn more tonnes of coal per year by 2017 compared with today.",train
222,ADV,ELE,"It would be more accurate to call them scum houses than scum villages, says Boer, because we dont want to put more than one of these families in the same area.","They are scum houses not scum villages, says Boer, because we dont want to put more than one of these families in the same area.",train
168,ADV,ELE,International activity is up 41% since December.,International activity has increased by 41% since December.,train
32,ADV,ELE,"He keeps his BlackBerry for messaging, uses an iPhone over wi-fi to play games and makes phone calls on an HTC-branded Android phone.","He keeps his BlackBerry for messaging, he uses an iPhone to play games, and he makes phone calls on an Android phone.",train
347,ADV,ELE,"The Prince Hotel in Tokyo was forced to come clean after a diner complained in a blogpost that a scallop dish he had ordered contained a similar, but cheaper, type of shellfish.","complained in a blogpost that a scallop dish he ordered at the Prince Hotel in Tokyo contained a similar, but cheaper, type of shellfish.",train
626,ADV,ELE,"To be honest, I have never seen what my neighbours look like.",I have never seen what my neighbours look like.,train
1434,ADV,ELE,FemAle has already been approached by other breweries asking if they can brew new beers with them.,Other breweries have already asked FemAle if they can brew new beers with them.,train
81,ADV,ELE,"The other group did a ten-minute warm-up on the bike, followed by four minutes of Tabata intervals, four times a week  plus one 30-minute session of steady exercise with two minutes of intervals.","The other group did a ten-minute warm-up on the bike, then four minutes of Tabata training, four times a week  plus one 30-minute session of exercise with two minutes of Tabata.",train
1738,ADV,ELE,"Pub group J D Wetherspoon has 24,000 of its staff  80% of its workforce  on the terms.","Pub group J D Wetherspoon has 24,000 of its staff  80% of its workforce  on zero-hours contracts.",train
539,ADV,ELE,There are some people who will not or cannot change.,"Of course, there are some people who will not or cannot change.",train
1963,ADV,ELE,You see a lot of reconstructions of these people hunting and gathering and they look like modern Europeans with light skin.,You see a lot of pictures of these people hunting and gathering and they look like modern Europeans with light skin.,train
1651,ADV,ELE,"At a pool in Bristol, she taught me some simple exercises to help me hold my breath for longer while swimming underwater.","At a swimming pool in Bristol, she taught me some simple ways to help me hold my breath for longer while swimming underwater.",train
158,ADV,ELE,"Illegal downloading is a kind of moral squalor and theft, as much as reaching in to someones pocket and stealing their wallet is theft, says author Philip Pullman.","Illegal downloading is morally wrong, and it is theft, the same as putting your hand in someones pocket and stealing their wallet is theft, says author Philip Pullman.",train
1472,ADV,ELE,"All around the subway, bacteria associated with cheeses  brie, cheddar, parmesan and the mozzarella of ubiquitous New York pizza  turned up.","All around the subway, there were bacteria from cheeses  brie, cheddar, parmesan and the mozzarella found on New York pizza.",train
324,ADV,ELE,More than 18 million people are already facing serious food shortages across the Sahel.,More than 18 million people already have serious food shortages across the Sahel.,train
995,ADV,ELE,"Almost 6,000 people have so far signed Unites online petition.","Almost 6,000 people have signed Unites online petition.",train
890,ADV,ELE,"Each month, Sullivans members choose from a list of seven possible gifts (chocolate, tea sets, manicures).","Each month, Sullivans clients choose from a list of seven possible gifts (chocolate, tea sets, etc).",train
2026,ADV,ELE,The fall of the Berlin Wall helped de ne Vienna as the hub for companies wanting to do business in Central Europe.,The fall of the Berlin Wall helped make Vienna a centre for companies who want to do business in Central Europe.,train
1913,ADV,ELE,"For a man famous in his own lifetime, there is little documentary evidence for Shakespeares life and times.",Shakespeare was famous in his own lifetime but there is little documentary evidence about Shakespeares life and times.,train
