OriginalID,SourceLevel,TargetLevel,SourceText,TargetText
2405,ADV,INT,"But with unemployment high and cuts to benefits, it makes things tougher.","But with unemployment high and cuts to benefits, it makes things more difficult."
2405,INT,ADV,"But with unemployment high and cuts to benefits, it makes things more difficult.","But with unemployment high and cuts to benefits, it makes things tougher."
1917,ADV,ELE,Hearing that subtle click is harder if theres a lot of noise around you.,It is harder to hear that click if theres a lot of noise around you.
1917,ELE,ADV,It is harder to hear that click if theres a lot of noise around you.,Hearing that subtle click is harder if theres a lot of noise around you.
2504,ADV,INT,Research has shown they need much higher levels of protein to prevent their health from deteriorating and to allow healthy growth.,Research has shown they need much higher levels of protein to stop their health deteriorating and to allow healthy growth.
2504,INT,ADV,Research has shown they need much higher levels of protein to stop their health deteriorating and to allow healthy growth.,Research has shown they need much higher levels of protein to prevent their health from deteriorating and to allow healthy growth.
2514,ADV,INT,"We have known for a long time that torture does not work, he said.","We have known for a long time that torture does not work, Anderson said."
2514,INT,ADV,"We have known for a long time that torture does not work, Anderson said.","We have known for a long time that torture does not work, he said."
2025,ADV,ELE,"We also have terri c public transport, with the underground working 24 hours at weekends, and it only costs 1 per trip.",We also have terri c public transport  the underground trains run 24 hours at weekends and it only costs 1 per trip.
2025,ELE,ADV,We also have terri c public transport  the underground trains run 24 hours at weekends and it only costs 1 per trip.,"We also have terri c public transport, with the underground working 24 hours at weekends, and it only costs 1 per trip."
2234,ADV,INT,The leaves reputedly provide energy and are said to have medicinal qualities.,The leaves are said to provide energy and have medicinal qualities.
2234,INT,ADV,The leaves are said to provide energy and have medicinal qualities.,The leaves reputedly provide energy and are said to have medicinal qualities.
711,ADV,ELE,"In 2014, Bowie was given the Brit Award for Best British Male, making him the oldest British recipient in the awards history.","In 2014, Bowie was given the Brit Award for Best British Male  he was the oldest person to get the award."
711,ELE,ADV,"In 2014, Bowie was given the Brit Award for Best British Male  he was the oldest person to get the award.","In 2014, Bowie was given the Brit Award for Best British Male, making him the oldest British recipient in the awards history."
5486,ELE,INT,"Leifert and his colleagues conclude that many antioxidants reduce the risk of serious diseases, including diseases of the heart and certain cancers.","Leifert and his colleagues conclude that many antioxidants have previously been linked to a reduced risk of chronic diseases, including cardiovascular diseases, neurodegenerative diseases and certain cancers."
5486,INT,ELE,"Leifert and his colleagues conclude that many antioxidants have previously been linked to a reduced risk of chronic diseases, including cardiovascular diseases, neurodegenerative diseases and certain cancers.","Leifert and his colleagues conclude that many antioxidants reduce the risk of serious diseases, including diseases of the heart and certain cancers."
1351,ADV,ELE,I wont touch those jobs anymore.,I wont do those jobs anymore.
1351,ELE,ADV,I wont do those jobs anymore.,I wont touch those jobs anymore.
2314,ADV,INT,"More men have signed up than women (53% to 47%), with testimonials such as Its so lovely to be able to say this out loud and I finally dare to be honest about what I want.","More men have signed up than women (53% to 47%), with comments such as Its so lovely to be able to say this out loud and I finally dare to be honest about what I want."
2314,INT,ADV,"More men have signed up than women (53% to 47%), with comments such as Its so lovely to be able to say this out loud and I finally dare to be honest about what I want.","More men have signed up than women (53% to 47%), with testimonials such as Its so lovely to be able to say this out loud and I finally dare to be honest about what I want."
4835,ELE,INT,"Finally, in 1990, after a vote among Conservative MPs failed to support her, John Major took control of the party.","After a vote among Conservative MPs failed to support her, John Major took control of the party."
4835,INT,ELE,"After a vote among Conservative MPs failed to support her, John Major took control of the party.","Finally, in 1990, after a vote among Conservative MPs failed to support her, John Major took control of the party."
5474,ELE,INT,The ban on wolf hunting in the western Carpathian mountains became law in 1995 and in the whole of Poland in 1998.,The ban on wolf hunting in the western Carpathians became law in 1995 and in the whole of Poland in 1998.
5474,INT,ELE,The ban on wolf hunting in the western Carpathians became law in 1995 and in the whole of Poland in 1998.,The ban on wolf hunting in the western Carpathian mountains became law in 1995 and in the whole of Poland in 1998.
3838,ADV,INT,"The National Theatre, the Royal Shakespeare Company and virtually every other theatre production company in the country will be marking the anniversary.","The National Theatre, the Royal Shakespeare Company and nearly every other theatre production company in the country will celebrate the anniversary."
3838,INT,ADV,"The National Theatre, the Royal Shakespeare Company and nearly every other theatre production company in the country will celebrate the anniversary.","The National Theatre, the Royal Shakespeare Company and virtually every other theatre production company in the country will be marking the anniversary."
5475,ELE,INT,There are now wolf packs in nearly all the countrys major forests where the wolves exist together with humans.,There are now wolf packs in nearly all the countrys major forests where the wolves coexist with humans.
5475,INT,ELE,There are now wolf packs in nearly all the countrys major forests where the wolves coexist with humans.,There are now wolf packs in nearly all the countrys major forests where the wolves exist together with humans.
4920,ELE,INT,Reject pessimism and know that progress is possible.,"Reject pessimism, cynicism and know that progress is possible."
4920,INT,ELE,"Reject pessimism, cynicism and know that progress is possible.",Reject pessimism and know that progress is possible.
1324,ADV,ELE,"A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, made their way to another level-5 match to monitor another referee tipped to progress  John Brooks.","A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, went to another level-5 match to check another young referee  John Brooks."
1324,ELE,ADV,"A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, went to another level-5 match to check another young referee  John Brooks.","A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, made their way to another level-5 match to monitor another referee tipped to progress  John Brooks."
1778,ADV,ELE,"And, each single word lights up many different brain spots.","And, each single word appears in many different brain spots."
1778,ELE,ADV,"And, each single word appears in many different brain spots.","And, each single word lights up many different brain spots."
2374,ADV,INT,"Alexs vision, energy and ability have built teams  both on and off the pitch  that his successor can count on as among the best and most loyal in world sport.","Alexs vision, energy and ability have built teams that are among the best and most loyal in world sport."
2374,INT,ADV,"Alexs vision, energy and ability have built teams that are among the best and most loyal in world sport.","Alexs vision, energy and ability have built teams  both on and off the pitch  that his successor can count on as among the best and most loyal in world sport."
3289,ADV,INT,"The car, in fact, takes over all the tasks of navigation, steering, acceleration and braking.","The car, in fact, does all the tasks of navigation, steering, acceleration and braking."
3289,INT,ADV,"The car, in fact, does all the tasks of navigation, steering, acceleration and braking.","The car, in fact, takes over all the tasks of navigation, steering, acceleration and braking."
5007,ELE,INT,"When two people on a remote Pacific island saw a small boat washed up on the beach, they decided to take a closer look.","When two people from the Marshall Islands saw a small fibreglass boat washed up on the beach of a remote Pacific island, they decided to take a closer look."
5007,INT,ELE,"When two people from the Marshall Islands saw a small fibreglass boat washed up on the beach of a remote Pacific island, they decided to take a closer look.","When two people on a remote Pacific island saw a small boat washed up on the beach, they decided to take a closer look."
4963,ELE,INT,"In Northumberland Dark Sky Park, it is so dark that Venus casts a shadow on the Earth.","In Northumberland Dark Sky Park, as the area was renamed, it is so dark that Venus casts a shadow on the Earth."
4963,INT,ELE,"In Northumberland Dark Sky Park, as the area was renamed, it is so dark that Venus casts a shadow on the Earth.","In Northumberland Dark Sky Park, it is so dark that Venus casts a shadow on the Earth."
605,ADV,ELE,"Another factory owner, who declined to be named, said that once a factory closed its doors, even for a few months, it would lose orders and close permanently: There is no such thing as temporary closure, he said.","Another factory owner said that, when a factory closed, even for a few months, it would lose orders and close permanently: There is no such thing as temporary closure, he said."
605,ELE,ADV,"Another factory owner said that, when a factory closed, even for a few months, it would lose orders and close permanently: There is no such thing as temporary closure, he said.","Another factory owner, who declined to be named, said that once a factory closed its doors, even for a few months, it would lose orders and close permanently: There is no such thing as temporary closure, he said."
2440,ADV,INT,They emit fewer greenhouse gases and less ammonia than cows and can be grown on organic waste.,They produce fewer greenhouse gases and less ammonia than cows and can be grown on organic waste.
