OriginalID,SourceLevel,TargetLevel,SourceText,TargetText,split
1917,ELE,ADV,It is harder to hear that click if theres a lot of noise around you.,Hearing that subtle click is harder if theres a lot of noise around you.,train
2025,ELE,ADV,We also have terri c public transport  the underground trains run 24 hours at weekends and it only costs 1 per trip.,"We also have terri c public transport, with the underground working 24 hours at weekends, and it only costs 1 per trip.",train
711,ELE,ADV,"In 2014, Bowie was given the Brit Award for Best British Male  he was the oldest person to get the award.","In 2014, Bowie was given the Brit Award for Best British Male, making him the oldest British recipient in the awards history.",train
1351,ELE,ADV,I wont do those jobs anymore.,I wont touch those jobs anymore.,train
1324,ELE,ADV,"A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, went to another level-5 match to check another young referee  John Brooks.","A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, made their way to another level-5 match to monitor another referee tipped to progress  John Brooks.",train
1778,ELE,ADV,"And, each single word appears in many different brain spots.","And, each single word lights up many different brain spots.",train
605,ELE,ADV,"Another factory owner said that, when a factory closed, even for a few months, it would lose orders and close permanently: There is no such thing as temporary closure, he said.","Another factory owner, who declined to be named, said that once a factory closed its doors, even for a few months, it would lose orders and close permanently: There is no such thing as temporary closure, he said.",train
2134,ELE,ADV,"McDonalds has a bigger menu than some other restaurants, with more complicated items  its chicken McWrap takes 60 seconds to make.","McDonalds has a bigger menu than some, with more complicated items  its chicken McWrap takes 60 seconds to make.",train
753,ELE,ADV,"But renting a one-bedroom flat would cost more than 420 a month not including bills, which would use a lot of her earnings.","But renting a one-bedroom flat would cost more than 420 a month before bills, which would take up a lot of her earnings.",train
1727,ELE,ADV,Quali cations: You dont need a degree in computer science.,Quali cations: You dont necessarily need a degree in computer science.,train
1162,ELE,ADV,He spends his spare moments at work reading news articles and books.,He spends his lift rides and spare moments at work reading news articles and books rather than scrolling through a newsfeed.,train
80,ELE,ADV,Every village is digging a pit for garbage.,Every village is digging a pit just beyond the houses for garbage.,train
409,ELE,ADV,"The Stand with Malala petition, that is asking for education for the 57 million children around the world who do not go to school, has got more than four million signatures  more than a million were added after Malalas speech.","The Stand with Malala petition, calling for education for the 57 million children around the world who do not go to school, has attracted more than four million signatures  more than a million having been added shortly after Malalas speech.",train
600,ELE,ADV,People without qualifications who want to use MOOCs as a bridge to higher education?,People lacking qualifications who want to use MOOCs as a bridge to higher education?,train
178,ELE,ADV,"Danes have no problem having children before marriage so things can move fast and, because the countrys so small, someone from Jutland can date someone from Copenhagen without too much travel, Limal said.","Danes have no problem having children before marriage so things can move fast and, because the countrys so small, a Jutlander can date a Copenhagener without too much travel, Limal said.",train
255,ELE,ADV,The European Parliament have said that health warnings will cover nearly two-thirds of cigarette packs and there will be a ban on menthol cigarettes in the EU.,Health warnings covering nearly two-thirds of cigarette packs and a ban on menthol cigarettes across the EU have come a step nearer following a vote in the European Parliament.,train
1545,ELE,ADV,They found that it was not his baby and not her baby.,A DNA test was done and it was found it was not his baby and not her baby.,train
1967,ELE,ADV,They found that it was not his baby and not her baby.,A DNA test was done and it was found it was not his baby and not her baby.,train
